"NAME,C,38","CNG02,C,254","COUNTY,C,254","LEG02,C,254","VTD,C,254","MCD,C,254","STATE,C,254","VTD_1,C,254","PLACE,C,254","UNADJPOP,C,254","ADJ_POPULA,N,19,5","ADJ_WHITE,N,19,5","ADJ_BLACK,N,19,5","ADJ_AMINDI,N,19,5","ADJ_ASIAN,N,19,5","ADJ_HAWAII,N,19,5","ADJ_OTHER,N,19,5","ADJ_18__PO,N,19,5","ADJ2_RACES,N,19,5","UNADJHISP,N,19,5","ADJ_18__WH,N,19,5","ADJ_18__BL,N,19,5","ADJ_18__IN,N,19,5","ADJ_18__AS,N,19,5","ADJ_18__HW,N,19,5","ADJ_18__OT,N,19,5","HU_OCCUPIE,N,19,5","HOUSING_UN,N,19,5"
Baltimore City Precinct 27-020,2402,24510,24043,2451027-020,2451090000,24,27-020,2404000,3334,3349,421,2756,2,90,1,25,2638,54,76,394,2104,1,84,1,18,1578,1660
Baltimore County Precinct 09-015,2402,24005,24042,2400509-015,2400590748,24,09-015,2478425,4078,4084,2272,1322,8,334,2,32,3421,114,126,1975,1048,7,294,2,21,1751,1871
Baltimore City Precinct 08-001,2403,24510,24045,2451008-001,2451090000,24,08-001,2404000,1398,1410,804,536,2,22,0,3,1120,43,29,671,406,2,18,0,3,527,558
Baltimore City Precinct 08-002,2403,24510,24045,2451008-002,2451090000,24,08-002,2404000,2243,2270,222,1970,13,21,0,18,1567,26,45,191,1324,9,19,0,12,729,829
Baltimore City Precinct 26-021,2402,24510,24045,2451026-021,2451090000,24,26-021,2404000,3830,3891,292,3505,15,10,0,19,2817,50,54,268,2485,11,9,0,12,1347,1494
Baltimore City Precinct 26-022,2402,24510,24045,2451026-022,2451090000,24,26-022,2404000,1090,1110,116,961,2,8,1,8,833,14,18,105,700,2,8,1,8,415,475
Baltimore City Precinct 27-002,2403,24510,24045,2451027-002,2451090000,24,27-002,2404000,727,730,493,199,2,5,0,6,589,25,20,413,157,0,4,0,3,301,325
Baltimore City Precinct 27-001,2402,24510,24045,2451027-001,2451090000,24,27-001,2404000,3123,3145,827,2147,7,23,0,28,2392,113,78,745,1538,5,22,0,21,1169,1315
Baltimore City Precinct 27-018,2407,24510,24043,2451027-018,2451090000,24,27-018,2404000,4117,4126,981,2957,20,42,2,22,3592,102,81,831,2629,12,38,2,14,854,950
Baltimore City Precinct 27-017,2407,24510,24043,2451027-017,2451090000,24,27-017,2404000,1599,1606,545,980,3,23,0,21,1270,34,37,474,737,3,18,0,16,642,691
Baltimore City Precinct 27-003,2403,24510,24045,2451027-003,2451090000,24,27-003,2404000,783,786,402,357,3,7,0,7,645,10,16,350,273,3,6,0,5,335,363
Baltimore City Precinct 27-004,2403,24510,24045,2451027-004,2451090000,24,27-004,2404000,883,890,404,455,1,6,0,10,683,14,19,347,312,1,5,0,8,349,376
Baltimore City Precinct 27-016,2403,24510,24043,2451027-016,2451090000,24,27-016,2404000,1020,1020,436,549,1,11,0,5,796,18,14,374,402,1,9,0,5,424,476
Baltimore City Precinct 26-023,2402,24510,24045,2451026-023,2451090000,24,26-023,2404000,1821,1848,139,1638,7,7,1,16,1323,40,39,123,1158,7,5,1,6,731,808
Baltimore City Precinct 15-022,2407,24510,24040,2451015-022,2451090000,24,15-022,2404000,1685,1719,17,1663,3,6,0,18,1258,12,34,14,1215,3,4,0,16,523,707
Baltimore City Precinct 15-024,2407,24510,24040,2451015-024,2451090000,24,15-024,2404000,2988,3055,16,2980,4,5,1,13,2203,36,22,11,2149,3,4,1,7,1054,1401
Baltimore City Precinct 27-055,2407,24510,24041,2451027-055,2451090000,24,27-055,2404000,1374,1414,23,1360,1,0,0,2,1004,28,18,20,965,1,0,0,2,436,608
Baltimore City Precinct 15-025,2407,24510,24040,2451015-025,2451090000,24,15-025,2404000,1236,1266,22,1225,6,0,0,0,981,13,9,22,941,6,0,0,0,394,554
Baltimore City Precinct 27-054,2407,24510,24040,2451027-054,2451090000,24,27-054,2404000,840,864,22,821,2,6,0,1,638,12,8,18,608,2,3,0,0,274,364
Baltimore City Precinct 27-058,2407,24510,24041,2451027-058,2451090000,24,27-058,2404000,1037,1060,10,1037,1,2,0,2,827,8,6,10,808,1,2,0,2,365,461
Baltimore City Precinct 27-053,2407,24510,24040,2451027-053,2451090000,24,27-053,2404000,2662,2722,71,2599,14,7,0,4,2043,27,20,68,1933,13,3,0,4,902,1050
Baltimore City Precinct 27-052,2407,24510,24040,2451027-052,2451090000,24,27-052,2404000,4221,4308,107,4087,19,11,0,15,3286,69,60,101,3109,12,7,0,9,1572,1829
Baltimore City Precinct 15-023,2407,24510,24040,2451015-023,2451090000,24,15-023,2404000,2855,2905,67,2769,9,5,1,5,2253,49,21,64,2138,8,3,1,5,1205,1430
Baltimore City Precinct 13-005,2403,24510,24040,2451013-005,2451090000,24,13-005,2404000,1221,1228,921,212,10,24,0,13,1073,48,53,834,172,6,21,0,9,542,593
Baltimore City Precinct 27-048,2403,24510,24041,2451027-048,2451090000,24,27-048,2404000,1203,1207,200,928,6,38,0,5,1042,30,20,164,820,5,29,0,3,677,757
Baltimore City Precinct 27-043,2403,24510,24041,2451027-043,2451090000,24,27-043,2404000,859,860,725,86,0,28,1,5,828,15,15,704,81,0,25,1,5,626,730
Baltimore City Precinct 27-050,2403,24510,24041,2451027-050,2451090000,24,27-050,2404000,1469,1471,900,471,8,30,0,16,1142,46,48,705,380,3,21,0,11,589,621
Baltimore City Precinct 27-051,2403,24510,24041,2451027-051,2451090000,24,27-051,2404000,397,397,152,236,4,1,0,0,390,4,3,146,235,4,1,0,0,211,239
Baltimore City Precinct 27-049,2403,24510,24041,2451027-049,2451090000,24,27-049,2404000,3405,3406,2785,344,6,149,3,21,2675,98,81,2204,287,5,123,3,14,1543,1606
Baltimore County Precinct 03-009,2403,24005,24042,2400503-009,2400590196,24,03-009,,5136,5139,3620,662,5,720,2,18,4063,112,146,2988,474,3,510,2,15,2279,2418
Baltimore City Precinct 13-006,2407,24510,24040,2451013-006,2451090000,24,13-006,2404000,994,1011,36,956,2,1,0,1,794,15,12,31,751,1,1,0,0,405,617
Baltimore City Precinct 13-004,2403,24510,24040,2451013-004,2451090000,24,13-004,2404000,1496,1504,1326,82,5,43,0,27,1252,21,53,1125,53,4,34,0,20,687,733
Baltimore City Precinct 13-003,2403,24510,24040,2451013-003,2451090000,24,13-003,2404000,2645,2660,2331,153,8,78,1,19,2288,70,92,2036,112,8,62,1,15,1237,1399
Baltimore City Precinct 13-011,2407,24510,24040,2451013-011,2451090000,24,13-011,2404000,2541,2547,2278,84,8,105,0,14,2205,58,75,1994,53,8,103,0,14,1232,1393
Baltimore City Precinct 13-012,2403,24510,24040,2451013-012,2451090000,24,13-012,2404000,1469,1472,1350,42,3,23,0,7,1293,47,38,1192,38,3,22,0,7,701,781
Baltimore City Precinct 13-001,2403,24510,24040,2451013-001,2451090000,24,13-001,2404000,2803,2803,2013,276,6,424,0,24,2558,60,87,1837,265,6,387,0,21,1303,1460
Baltimore City Precinct 27-047,2403,24510,24040,2451027-047,2451090000,24,27-047,2404000,1903,1908,1291,332,5,196,0,22,1633,62,73,1131,271,5,167,0,16,962,1030
Baltimore City Precinct 13-002,2403,24510,24040,2451013-002,2451090000,24,13-002,2404000,1540,1546,1231,173,6,66,2,33,1391,35,58,1128,152,5,56,2,26,920,1009
Baltimore City Precinct 27-046,2403,24510,24040,2451027-046,2451090000,24,27-046,2404000,1018,1018,860,58,2,62,0,4,802,32,31,686,46,2,50,0,2,454,467
Baltimore City Precinct 27-045,2403,24510,24041,2451027-045,2451090000,24,27-045,2404000,5243,5244,4556,344,18,142,2,51,4733,131,221,4124,320,10,129,2,46,818,891
Baltimore City Precinct 12-003,2407,24510,24040,2451012-003,2451090000,24,12-003,2404000,1599,1604,975,189,7,351,1,25,1491,56,84,919,159,5,335,1,21,461,531
Baltimore City Precinct 12-006,2407,24510,24040,2451012-006,2451090000,24,12-006,2404000,1647,1648,1103,194,5,259,5,29,1588,53,76,1069,185,5,250,5,28,842,937
Baltimore City Precinct 12-005,2407,24510,24043,2451012-005,2451090000,24,12-005,2404000,2034,2037,1337,286,4,326,1,17,1917,66,88,1278,245,4,313,1,16,1147,1334
Baltimore City Precinct 12-004,2407,24510,24043,2451012-004,2451090000,24,12-004,2404000,3974,3976,2323,312,5,1107,3,64,3816,162,229,2209,293,5,1097,3,61,1274,1430
Baltimore City Precinct 12-002,2407,24510,24043,2451012-002,2451090000,24,12-002,2404000,2582,2584,1782,244,2,482,3,21,2308,50,97,1591,216,2,447,3,16,1423,1531
Baltimore City Precinct 12-001,2403,24510,24043,2451012-001,2451090000,24,12-001,2404000,2273,2273,1706,117,1,380,1,12,2090,56,73,1580,106,1,354,0,12,1336,1495
Montgomery Precinct 07-028,2408,24031,24016,2403107-028,2403190612,24,07-028,,2474,2474,2026,64,6,290,0,22,1766,66,162,1458,47,3,224,0,10,859,893
Montgomery Precinct 10-012,2408,24031,24015,2403110-012,2403190888,24,10-012,2463300,4065,4069,2757,437,5,712,0,34,3031,124,288,2115,295,2,536,0,21,1448,1471
Montgomery Precinct 04-032,2408,24031,24016,2403104-032,2403190336,24,04-032,2463300,1847,1847,1546,34,0,208,0,10,1301,49,168,1080,26,0,158,0,8,641,660
Montgomery Precinct 10-011,2408,24031,24015,2403110-011,2403190888,24,10-011,2463300,2721,2722,1697,334,10,472,1,85,2350,123,372,1535,239,10,416,1,63,1528,1623
Montgomery Precinct 04-013,2408,24031,24016,2403104-013,2403190336,24,04-013,2456337,2694,2695,2407,37,1,171,0,10,1958,69,146,1771,27,1,129,0,5,948,971
Montgomery Precinct 07-018,2408,24031,24016,2403107-018,2403190612,24,07-018,,3224,3224,2948,57,3,125,1,8,2330,82,149,2149,40,3,100,0,7,1175,1229
Montgomery Precinct 07-024,2408,24031,24016,2403107-024,2403190612,24,07-024,,3256,3256,2890,46,2,207,1,21,2454,89,205,2216,34,2,149,1,19,1381,1466
Montgomery Precinct 07-027,2408,24031,24016,2403107-027,2403190612,24,07-027,2407125,2361,2361,2162,21,10,86,2,25,1711,55,182,1584,16,5,66,2,16,875,907
Montgomery Precinct 07-023,2408,24031,24016,2403107-023,2403190612,24,07-023,2407125,4308,4308,3375,91,7,650,3,41,3039,141,262,2412,62,5,477,1,24,1470,1511
Montgomery Precinct 07-013,2408,24031,24016,2403107-013,2403190612,24,07-013,2407125,4614,4614,3924,179,2,345,1,42,3393,121,338,2902,127,2,265,1,33,1823,1927
Montgomery Precinct 07-030,2408,24031,24016,2403107-030,2403190612,24,07-030,2407125,1232,1232,1126,32,0,52,0,0,960,22,47,888,19,0,40,0,0,480,499
Montgomery Precinct 07-012,2408,24031,24016,2403107-012,2403190612,24,07-012,2407125,3712,3712,3293,57,5,248,0,16,2602,93,191,2332,37,3,192,0,10,1299,1348
Montgomery Precinct 07-004,2408,24031,24016,2403107-004,2403190612,24,07-004,2407125,5461,5461,4418,240,8,564,3,75,4520,153,404,3691,196,6,472,3,57,2796,3103
Montgomery Precinct 07-007,2408,24031,24016,2403107-007,2403190612,24,07-007,2407125,2605,2605,2316,60,0,116,3,24,1823,86,151,1650,38,0,89,3,14,916,943
Montgomery Precinct 07-011,2408,24031,24016,2403107-011,2403190612,24,07-011,,4556,4556,3874,151,4,332,0,73,3525,122,358,3008,127,4,264,0,60,2024,2136
Montgomery Precinct 07-026,2408,24031,24016,2403107-026,2403190612,24,07-026,,5734,5734,4510,331,9,637,5,49,5321,193,474,4224,299,9,581,5,43,3632,4108
Montgomery Precinct 07-001,2408,24031,24018,2403107-001,2403190612,24,07-001,,2621,2623,2123,110,4,252,2,39,2183,93,242,1762,102,3,230,2,33,1412,1581
Montgomery Precinct 07-002,2408,24031,24018,2403107-002,2403190612,24,07-002,,2487,2487,2364,20,3,49,0,19,1793,32,75,1713,13,3,38,0,12,879,915
Montgomery Precinct 07-006,2408,24031,24018,2403107-006,2403190612,24,07-006,,2836,2836,2611,28,3,111,0,21,2058,62,134,1921,23,2,83,0,8,1010,1050
