7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45011010,866,0.843023,0,0,0,0,0.136628,0,0,
45011011,827,0.122605,0,0,0,0,0.842912,0,0,
45011012,1247,0.555556,0,0,0,0,0.420054,0,0,
45013101,1222,0.629268,0,0,0,0,0.282927,0,0,
45013102,1235,0.353659,0,0,0,0,0.560976,0,0,
45013103,1520,0.265625,0,0,0,0,0.651042,0,0,
45013110,1990,0.34072,0,0,0,0,0.601108,0,0,
45013111,1385,0.787162,0,0,0,0,0.165541,0,0,
45013112,1847,0.506173,0,0,0,0,0.438272,0,0,
45013113,1682,0.307453,0,0,0,0,0.618012,0,0,
45013114,1939,0.42369,0,0,0,0,0.501139,0,0,
45013115,1902,0.255814,0,0,0,0,0.687339,0,0,
45013116,799,0.577181,0,0,0,0,0.33557,0,0,
45013150,1299,0.432,0,0,0,0,0.492,0,0,
45013151,1521,0.50996,0,0,0,0,0.418327,0,0,
45013160,1236,0.719403,0,0,0,0,0.244776,0,0,
45013161,1265,0.494382,0,0,0,0,0.453184,0,0,
45013162,1016,0.746269,0,0,0,0,0.205224,0,0,
45013163,1488,0.592326,0,0,0,0,0.359712,0,0,
45013170,1149,0.590643,0,0,0,0,0.383041,0,0,
45013171,895,0.912879,0,0,0,0,0.0606061,0,0,
45013200,436,0.265487,0,0,0,0,0.716814,0,0,
45013201,1377,0.462687,0,0,0,0,0.456716,0,0,
45013202,1284,0.473154,0,0,0,0,0.483221,0,0,
45013203,1602,0.4325,0,0,0,0,0.535,0,0,
45013204,1720,0.554124,0,0,0,0,0.324742,0,0,
45013205,1582,0.199005,0,0,0,0,0.793532,0,0,
45013206,798,0.185714,0,0,0,0,0.77619,0,0,
45013207,875,0.233696,0,0,0,0,0.73913,0,0,
45013208,1356,0.248634,0,0,0,0,0.724044,0,0,
45013209,1113,0.339552,0,0,0,0,0.626866,0,0,
45013210,1201,0.271429,0,0,0,0,0.7,0,0,
