,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 20,780,89,2,1,3,1,76,0,3,175,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 21,1475,215,5,1,3,2,70,2,3,301,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 22,1539,282,7,0,3,3,80,0,0,375,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 23,2103,239,6,1,7,5,133,0,5,396,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 24,2644,411,7,1,5,6,135,2,9,576,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 25,687,175,6,1,2,1,20,3,0,208,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 26,453,147,3,0,0,1,14,0,0,165,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 27,1181,211,7,1,2,2,50,5,0,278,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 28,886,150,3,1,3,2,20,2,1,182,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 29,943,154,5,0,4,1,50,2,3,219,,,,,,,,,,,,,,,,,,
NORTH CHARLESTON 30,1996,382,7,2,2,7,106,4,8,518,,,,,,,,,,,,,,,,,,
Allens,1031,29,6,1,4,5,238,5,1,289,,,,,,,,,,,,,,,,,,
Alma Mill,1787,253,10,1,1,3,165,3,0,436,,,,,,,,,,,,,,,,,,
Antioch and Kings Creek,1239,45,13,0,9,3,356,7,3,436,,,,,,,,,,,,,,,,,,
Ashworth,1115,28,3,0,2,1,259,2,2,297,,,,,,,,,,,,,,,,,,
Blacksburg Ward No. 1,961,88,3,0,1,1,173,0,4,270,,,,,,,,,,,,,,,,,,
Blacksburg Ward No. 2,1357,67,6,2,2,0,300,3,3,383,,,,,,,,,,,,,,,,,,
Draytonville,1539,115,10,1,9,1,249,6,0,391,,,,,,,,,,,,,,,,,,
Ezells and Butler,1365,66,11,1,3,3,310,2,2,398,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 1,765,185,4,0,3,0,43,3,1,239,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 2,1235,317,4,0,4,1,58,3,1,388,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 3,1062,241,2,2,1,0,23,2,1,272,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 4,1241,225,4,0,3,0,118,3,1,354,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 5,1067,96,3,0,8,1,119,0,2,229,,,,,,,,,,,,,,,,,,
Gaffney Ward No. 6,1142,83,2,0,1,0,160,3,1,250,,,,,,,,,,,,,,,,,,
Grassy Pond,1982,131,8,0,5,4,331,0,5,484,,,,,,,,,,,,,,,,,,
Goucher and Thicketty,1080,41,5,0,8,1,266,0,1,322,,,,,,,,,,,,,,,,,,
Holly Grove-Buffalo,1271,37,3,0,8,4,304,2,1,359,,,,,,,,,,,,,,,,,,
Limestone Mill,853,124,8,1,2,1,80,1,2,219,,,,,,,,,,,,,,,,,,
Littlejohn's and Sarratt's,338,4,0,0,0,0,89,1,0,94,,,,,,,,,,,,,,,,,,
Macedonia,1360,65,8,0,4,3,284,0,2,366,,,,,,,,,,,,,,,,,,
Morgan,1106,44,5,0,5,1,333,1,0,389,,,,,,,,,,,,,,,,,,
Musgrove Mill,1342,109,5,1,1,2,209,2,0,329,,,,,,,,,,,,,,,,,,
Ninety Nine and Cherokee Falls,897,19,3,0,7,1,190,4,0,224,,,,,,,,,,,,,,,,,,
Pleasant Grove,938,153,1,0,2,1,105,0,1,263,,,,,,,,,,,,,,,,,,
Pleasant Meadows,732,163,5,0,1,0,46,3,0,218,,,,,,,,,,,,,,,,,,
Timber Ridge,881,35,6,2,3,3,203,0,0,252,,,,,,,,,,,,,,,,,,
White Plains,1306,78,9,2,8,0,296,6,1,400,,,,,,,,,,,,,,,,,,
Wilkinsville and Metcalf,533,5,0,0,2,1,129,4,1,142,,,,,,,,,,,,,,,,,,
Woods,883,30,2,1,2,1,216,2,2,256,,,,,,,,,,,,,,,,,,
Baldwin Mill,1198,171,4,0,7,0,43,6,0,231,,,,,,,,,,,,,,,,,,
Baton Rouge,727,30,3,0,3,0,77,2,0,115,,,,,,,,,,,,,,,,,,
Beckhamville,933,188,1,1,3,1,108,1,1,304,,,,,,,,,,,,,,,,,,
Blackstock,698,79,3,1,3,1,61,0,0,148,,,,,,,,,,,,,,,,,,
Edgemoor,1043,90,9,1,6,0,181,0,2,289,,,,,,,,,,,,,,,,,,
Eureka Mill,1632,237,11,0,3,1,71,5,1,329,,,,,,,,,,,,,,,,,,
Fort Lawn,1430,200,7,1,4,1,239,1,2,455,,,,,,,,,,,,,,,,,,
Halsellville,209,56,0,0,0,0,17,1,0,74,,,,,,,,,,,,,,,,,,
Hazelwood,773,53,3,0,5,1,91,3,1,157,,,,,,,,,,,,,,,,,,
Lowrys,1010,59,5,0,6,4,126,2,1,203,,,,,,,,,,,,,,,,,,
Richburg,1369,142,10,1,4,1,188,1,2,349,,,,,,,,,,,,,,,,,,
Rodman,1312,87,4,0,4,1,128,1,1,226,,,,,,,,,,,,,,,,,,
Rossville,405,43,1,0,1,0,59,0,1,105,,,,,,,,,,,,,,,,,,
Wilksburg,545,63,2,0,2,0,46,1,0,114,,,,,,,,,,,,,,,,,,
Chester Ward 1,1684,225,6,0,5,1,50,0,1,288,,,,,,,,,,,,,,,,,,
Chester Ward 2,1006,178,3,0,3,0,15,1,0,200,,,,,,,,,,,,,,,,,,
Chester Ward 3,1579,127,6,0,5,0,63,2,1,204,,,,,,,,,,,,,,,,,,
Chester Ward 4,1191,195,4,0,3,0,34,2,1,239,,,,,,,,,,,,,,,,,,
Chester Ward 5,1013,62,3,0,2,0,34,2,0,103,,,,,,,,,,,,,,,,,,
Lando/Lansford,1029,86,6,0,3,1,168,1,1,266,,,,,,,,,,,,,,,,,,
Great Falls,1148,176,11,0,3,0,141,8,0,339,,,,,,,,,,,,,,,,,,
ANGELUS-CARARRH,619,78,1,0,4,2,99,0,0,184,,,,,,,,,,,,,,,,,,
BAY SPRINGS,378,22,2,0,1,1,70,2,0,98,,,,,,,,,,,,,,,,,,
BLACK CREEK,429,47,3,0,3,0,53,0,0,106,,,,,,,,,,,,,,,,,,
BROCKS MILL,1744,294,2,1,2,0,93,1,0,393,,,,,,,,,,,,,,,,,,
CASH,1115,222,1,0,1,0,104,0,0,328,,,,,,,,,,,,,,,,,,
CENTER GROVE-WINZO,1069,218,4,0,1,0,131,4,0,358,,,,,,,,,,,,,,,,,,
CHERAW NO. 1,1498,163,5,0,10,0,161,4,1,344,,,,,,,,,,,,,,,,,,
CHERAW NO. 2,1052,156,11,1,1,1,97,1,2,270,,,,,,,,,,,,,,,,,,
CHERAW NO. 3,1971,459,8,0,5,0,74,4,0,550,,,,,,,,,,,,,,,,,,
CHERAW NO. 4,1477,237,4,0,5,1,98,3,3,351,,,,,,,,,,,,,,,,,,
COURTHOUSE,1992,156,9,0,7,0,164,2,1,339,,,,,,,,,,,,,,,,,,
DUDLEY-MANGUM,828,83,2,0,3,1,189,1,1,280,,,,,,,,,,,,,,,,,,
GRANTS MILL,1203,132,15,0,5,0,151,3,2,308,,,,,,,,,,,,,,,,,,
JEFFERSON,1692,285,6,2,4,4,264,2,3,570,,,,,,,,,,,,,,,,,,
MCBEE,1605,242,7,2,8,2,246,6,4,517,,,,,,,,,,,,,,,,,,
MIDDENDORF,755,27,2,0,2,1,173,0,0,205,,,,,,,,,,,,,,,,,,
MT. GROGHAN,372,29,2,0,1,0,50,0,0,82,,,,,,,,,,,,,,,,,,
OUSLEYDALE,708,26,6,0,4,0,145,4,1,186,,,,,,,,,,,,,,,,,,
PAGELAND NO. 1,1881,318,9,1,1,2,240,2,2,575,,,,,,,,,,,,,,,,,,
PAGELAND NO. 2,1607,259,10,0,7,0,245,10,3,534,,,,,,,,,,,,,,,,,,
PATRICK,734,87,7,1,4,2,99,2,0,202,,,,,,,,,,,,,,,,,,
PEE DEE,298,17,2,0,0,0,56,0,0,75,,,,,,,,,,,,,,,,,,
RUBY,1014,126,4,1,3,2,97,4,0,237,,,,,,,,,,,,,,,,,,
SHILOH,628,62,6,0,4,0,74,0,0,146,,,,,,,,,,,,,,,,,,
SNOW HILL-VAUGHN,561,28,2,0,2,0,66,0,1,99,,,,,,,,,,,,,,,,,,
Alcolu,926,138,1,0,1,0,70,3,1,214,,,,,,,,,,,,,,,,,,
Barrineau,477,18,1,0,0,0,155,0,0,174,,,,,,,,,,,,,,,,,,
Barrows Mill,149,23,0,0,2,0,31,0,1,57,,,,,,,,,,,,,,,,,,
Bloomville,499,61,0,0,0,0,62,1,0,124,,,,,,,,,,,,,,,,,,
Calvary,595,185,1,0,1,0,23,1,0,211,,,,,,,,,,,,,,,,,,
Davis Station,1955,208,8,1,3,0,209,3,3,435,,,,,,,,,,,,,,,,,,
Harmony,678,125,3,0,2,0,50,0,1,181,,,,,,,,,,,,,,,,,,
Hicks,565,42,0,0,1,0,126,1,1,171,,,,,,,,,,,,,,,,,,
Home Branch,360,23,0,0,0,0,68,1,0,92,,,,,,,,,,,,,,,,,,
Jordan,2531,103,2,1,9,3,241,3,3,365,,,,,,,,,,,,,,,,,,
Manning No. 1,720,110,3,0,2,0,31,1,1,148,,,,,,,,,,,,,,,,,,
Manning No. 2,1075,126,1,0,4,0,49,1,0,181,,,,,,,,,,,,,,,,,,
Manning No. 3,1572,86,2,0,4,0,109,0,3,204,,,,,,,,,,,,,,,,,,
Manning No. 4,1776,183,0,0,0,0,8,1,0,192,,,,,,,,,,,,,,,,,,
Manning No. 5,1108,129,2,0,0,0,69,3,2,205,,,,,,,,,,,,,,,,,,
New Zion,469,72,2,0,1,1,70,0,0,146,,,,,,,,,,,,,,,,,,
Paxville,1019,180,4,0,8,1,69,1,0,263,,,,,,,,,,,,,,,,,,
Panola,265,75,1,0,0,0,13,0,0,89,,,,,,,,,,,,,,,,,,
Sardina-Gable,348,122,0,0,0,0,27,1,0,150,,,,,,,,,,,,,,,,,,
Summerton No. 1,2364,174,3,0,4,1,217,2,1,402,,,,,,,,,,,,,,,,,,
Summerton No. 2,460,82,1,0,0,0,16,2,0,101,,,,,,,,,,,,,,,,,,
Summerton No. 3,1201,268,2,0,1,0,19,2,0,292,,,,,,,,,,,,,,,,,,
Turbeville,1060,116,1,0,1,0,209,2,0,329,,,,,,,,,,,,,,,,,,
Wilson Foreston,1392,223,3,0,5,0,86,2,0,319,,,,,,,,,,,,,,,,,,
Oakdale,278,78,0,0,1,0,27,0,1,107,,,,,,,,,,,,,,,,,,
BELLS,276,43,1,1,2,0,28,0,0,75,,,,,,,,,,,,,,,,,,
CANADYS,552,73,3,0,3,0,68,4,2,153,,,,,,,,,,,,,,,,,,
COTTAGEVILLE,1610,109,7,0,7,4,233,7,2,369,,,,,,,,,,,,,,,,,,
EDISTO,362,85,0,1,2,0,27,1,0,116,,,,,,,,,,,,,,,,,,
GREEN POND,909,250,2,0,4,0,42,0,0,298,,,,,,,,,,,,,,,,,,
HENDERSONVILLE,1077,233,13,0,3,0,77,2,0,328,,,,,,,,,,,,,,,,,,
HORSE PEN,645,49,2,1,4,1,103,4,0,164,,,,,,,,,,,,,,,,,,
HUDSON MILL,572,41,2,1,1,1,77,2,1,126,,,,,,,,,,,,,,,,,,
JACKSONBORO,345,139,2,0,1,0,18,1,0,161,,,,,,,,,,,,,,,,,,
MAPLE CANE,945,36,2,0,5,3,169,3,2,220,,,,,,,,,,,,,,,,,,
MASHAWVILLE,792,133,1,0,0,0,61,1,0,196,,,,,,,,,,,,,,,,,,
PEEPLES,1140,120,1,1,4,0,128,1,1,256,,,,,,,,,,,,,,,,,,
PETITS,231,17,1,0,1,1,32,0,0,52,,,,,,,,,,,,,,,,,,
PENIEL,962,91,7,0,1,1,75,4,1,180,,,,,,,,,,,,,,,,,,
RITTER,737,184,2,1,2,0,48,0,1,238,,,,,,,,,,,,,,,,,,
ROUND O,1031,84,3,1,1,1,117,0,0,207,,,,,,,,,,,,,,,,,,
RICE PATCH,603,68,0,0,9,0,63,4,0,144,,,,,,,,,,,,,,,,,,
RUFFIN,287,37,2,0,0,0,29,0,0,68,,,,,,,,,,,,,,,,,,
SIDNEYS,542,37,0,1,3,0,111,1,0,153,,,,,,,,,,,,,,,,,,
STOKES,666,38,0,0,2,1,118,1,1,161,,,,,,,,,,,,,,,,,,
SNIDERS,586,50,3,1,2,0,90,0,1,147,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 1,1399,96,2,0,3,1,77,0,3,182,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 2,1319,140,4,1,7,0,64,3,0,219,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 3,1475,271,6,0,0,0,26,3,1,307,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 4,1500,97,6,1,5,0,110,3,1,223,,,,,,,,,,,,,,,,,,
WILLIAMS,276,51,0,0,0,0,36,1,0,88,,,,,,,,,,,,,,,,,,
WOLF CREEK,377,10,1,0,1,0,74,0,0,86,,,,,,,,,,,,,,,,,,
EDISTO BEACH,1022,42,0,0,0,0,216,2,0,260,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 5,1500,55,1,0,3,0,113,0,0,172,,,,,,,,,,,,,,,,,,
ASHTON-LODGE,484,35,2,0,1,1,65,0,0,104,,,,,,,,,,,,,,,,,,
BEREA-SMOAKS,947,238,2,0,0,1,94,1,2,338,,,,,,,,,,,,,,,,,,
WALTERBORO NO. 6,1220,133,6,1,2,1,85,3,2,233,,,,,,,,,,,,,,,,,,
ANTIOCH,1803,301,8,1,8,0,246,2,0,566,,,,,,,,,,,,,,,,,,
AUBURN,727,242,1,0,4,0,39,3,3,292,,,,,,,,,,,,,,,,,,
BETHEL,747,141,3,1,4,0,109,1,0,259,,,,,,,,,,,,,,,,,,
BLACK CREEK-CLYDE,1204,115,5,0,6,1,275,3,0,405,,,,,,,,,,,,,,,,,,
BURNT BRANCH,725,68,2,0,0,1,117,0,0,188,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 1,373,52,2,0,1,0,21,2,0,78,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 2,1670,343,3,0,0,2,108,2,1,459,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 4,1598,275,6,1,1,1,69,0,1,354,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 5,1879,504,6,0,3,3,18,4,0,538,,,,,,,,,,,,,,,,,,
DOVESVILLE,1545,416,0,0,7,3,150,2,0,578,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 1,1297,54,1,1,8,3,172,0,4,243,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 4,1032,275,4,0,5,1,59,0,1,345,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 5,2400,240,11,2,13,2,255,2,4,529,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 6,1817,582,0,0,0,1,4,2,1,590,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 7,1183,176,5,0,2,2,136,2,1,324,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 8,2683,143,8,0,8,1,502,1,4,667,,,,,,,,,,,,,,,,,,
HIGH HILL,2576,448,11,1,7,2,321,8,2,800,,,,,,,,,,,,,,,,,,
INDIAN BRANCH,646,64,8,0,1,2,119,2,2,198,,,,,,,,,,,,,,,,,,
KELLEYTOWN,1811,64,2,0,4,2,384,3,3,462,,,,,,,,,,,,,,,,,,
LAKE SWAMP,1359,229,7,1,6,1,238,2,2,486,,,,,,,,,,,,,,,,,,
LAMAR NO. 1,870,244,1,1,3,0,99,1,0,349,,,,,,,,,,,,,,,,,,
LAMAR NO. 2,1544,259,2,0,6,1,254,3,2,527,,,,,,,,,,,,,,,,,,
LYDIA,717,235,5,0,0,1,60,1,0,302,,,,,,,,,,,,,,,,,,
MECHANICSVILLE,1793,308,5,0,3,2,174,0,3,495,,,,,,,,,,,,,,,,,,
NEW MARKET,1032,34,5,0,6,0,252,3,1,301,,,,,,,,,,,,,,,,,,
OATES,959,159,7,0,0,1,184,2,0,353,,,,,,,,,,,,,,,,,,
PALMETTO,1926,312,8,2,8,2,208,2,2,544,,,,,,,,,,,,,,,,,,
SOCIETY HILL,849,253,5,1,2,2,67,1,0,331,,,,,,,,,,,,,,,,,,
SWIFT CREEK,901,115,1,0,3,0,158,2,3,282,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 3,2812,272,6,0,3,3,229,3,2,518,,,,,,,,,,,,,,,,,,
DARLINGTON NO. 6,1744,258,8,0,6,0,190,3,1,466,,,,,,,,,,,,,,,,,,
HARTSVILLE NO. 9,1786,253,6,1,10,5,259,0,3,537,,,,,,,,,,,,,,,,,,
EAST DILLON,1968,68,2,0,4,1,144,8,2,229,,,,,,,,,,,,,,,,,,
WEST DILLON,2473,331,18,1,10,3,48,3,1,415,,,,,,,,,,,,,,,,,,
SOUTH DILLON,1986,269,5,1,1,0,34,7,1,318,,,,,,,,,,,,,,,,,,
LATTA,2799,349,12,0,3,1,113,9,3,490,,,,,,,,,,,,,,,,,,
NEW HOLLY,370,51,2,0,0,0,35,0,0,88,,,,,,,,,,,,,,,,,,
LAKE VIEW,1220,182,7,0,2,1,112,5,0,309,,,,,,,,,,,,,,,,,,
KEMPER,492,68,2,0,0,0,24,0,0,94,,,,,,,,,,,,,,,,,,
GADDY'S MILL,231,29,0,0,1,0,22,0,1,53,,,,,,,,,,,,,,,,,,
MT. CALVARY,2235,389,15,0,7,0,69,6,3,489,,,,,,,,,,,,,,,,,,
BERMUDA,297,37,0,0,1,1,17,0,0,56,,,,,,,,,,,,,,,,,,
PLEASANT HILL,215,19,2,0,2,0,12,0,0,35,,,,,,,,,,,,,,,,,,
HAMER,964,90,4,1,5,0,43,0,1,144,,,,,,,,,,,,,,,,,,
OAKLAND,1015,174,4,2,1,2,35,3,0,221,,,,,,,,,,,,,,,,,,
CAROLINA,397,80,1,0,1,0,13,0,0,95,,,,,,,,,,,,,,,,,,
LITTLE ROCK,738,155,2,0,1,1,37,2,1,199,,,,,,,,,,,,,,,,,,
MINTURN,230,47,0,0,1,0,8,0,0,56,,,,,,,,,,,,,,,,,,
OAK GROVE,960,83,6,0,1,0,103,2,1,196,,,,,,,,,,,,,,,,,,
MANNING,416,37,1,0,1,2,16,1,0,58,,,,,,,,,,,,,,,,,,
FLOYDALE,618,42,3,1,0,1,68,2,2,119,,,,,,,,,,,,,,,,,,
FORK,379,48,1,0,0,0,55,0,2,106,,,,,,,,,,,,,,,,,,
Rosinville,1376,255,4,3,4,1,177,3,2,449,,,,,,,,,,,,,,,,,,
St. George No. 2,861,89,6,0,1,0,93,0,0,189,,,,,,,,,,,,,,,,,,
St. George No. 1,1235,177,6,0,5,1,88,1,2,280,,,,,,,,,,,,,,,,,,
Grover,874,155,5,0,2,0,100,1,2,265,,,,,,,,,,,,,,,,,,
Reevesville,1003,198,5,0,3,0,119,5,1,331,,,,,,,,,,,,,,,,,,
Harleyville,698,103,6,1,5,2,110,1,1,229,,,,,,,,,,,,,,,,,,
Four Hole,1032,194,2,3,2,0,145,6,2,354,,,,,,,,,,,,,,,,,,
Rosses,997,150,6,1,3,0,138,2,1,301,,,,,,,,,,,,,,,,,,
Ridgeville,921,126,4,0,3,2,116,3,1,255,,,,,,,,,,,,,,,,,,
Givhans,940,111,6,0,3,0,162,4,0,286,,,,,,,,,,,,,,,,,,
Delemars,533,253,1,0,1,1,36,0,0,292,,,,,,,,,,,,,,,,,,
Saul Dam,496,26,2,0,2,1,77,0,1,109,,,,,,,,,,,,,,,,,,
Coastal,1203,172,8,1,7,5,103,1,8,305,,,,,,,,,,,,,,,,,,
Trolley,1602,130,10,0,3,1,123,1,6,274,,,,,,,,,,,,,,,,,,
Tranquil,821,34,5,0,5,0,101,0,2,147,,,,,,,,,,,,,,,,,,
Beech Hill,1340,48,1,0,3,0,186,0,0,238,,,,,,,,,,,,,,,,,,
Flowertown,1374,73,3,0,7,2,179,2,3,269,,,,,,,,,,,,,,,,,,
Knightsville,1370,87,4,1,3,1,192,6,2,296,,,,,,,,,,,,,,,,,,
Clemson,1663,30,2,0,2,1,187,2,5,229,,,,,,,,,,,,,,,,,,
Germantown,1492,82,2,2,2,1,156,2,6,253,,,,,,,,,,,,,,,,,,
Greenwave,1402,116,10,0,1,2,124,2,0,255,,,,,,,,,,,,,,,,,,
Newington,1287,53,1,1,2,1,152,2,3,215,,,,,,,,,,,,,,,,,,
Carolina,2084,239,9,1,9,2,199,0,7,466,,,,,,,,,,,,,,,,,,
Dorchester,1300,63,5,1,9,1,108,1,3,191,,,,,,,,,,,,,,,,,,
Archdale,1376,157,1,0,6,0,148,2,5,319,,,,,,,,,,,,,,,,,,
Stallsville,1086,66,4,1,3,2,187,1,3,267,,,,,,,,,,,,,,,,,,
Indian Field,641,143,4,0,2,0,42,0,0,191,,,,,,,,,,,,,,,,,,
Spann,1381,59,1,1,6,2,188,1,3,261,,,,,,,,,,,,,,,,,,
North Summerville,516,37,0,0,1,1,44,0,0,83,,,,,,,,,,,,,,,,,,
Tupperway,1001,51,2,2,5,1,122,2,2,187,,,,,,,,,,,,,,,,,,
Irongate,760,24,3,0,3,0,139,1,3,173,,,,,,,,,,,,,,,,,,
Greenhurst,1107,97,7,0,9,1,134,6,3,257,,,,,,,,,,,,,,,,,,
Ashborough East,1016,116,8,0,4,1,104,2,5,240,,,,,,,,,,,,,,,,,,
Ashborough West,622,30,0,1,3,1,75,0,3,113,,,,,,,,,,,,,,,,,,
Ashley River,2308,253,7,1,14,2,295,6,9,587,,,,,,,,,,,,,,,,,,
Windsor,936,119,2,1,5,2,128,1,2,260,,,,,,,,,,,,,,,,,,
Bacons Bridge,1956,131,7,1,8,3,259,5,6,420,,,,,,,,,,,,,,,,,,
Brandymill,744,38,2,0,3,4,102,0,3,152,,,,,,,,,,,,,,,,,,
Briarwood,1514,117,5,0,10,2,159,5,3,301,,,,,,,,,,,,,,,,,,
Butternut,1932,135,3,2,2,2,236,0,6,386,,,,,,,,,,,,,,,,,,
Central,1470,49,2,0,4,1,154,1,2,213,,,,,,,,,,,,,,,,,,
Coosaw,2180,157,3,2,11,1,262,0,8,444,,,,,,,,,,,,,,,,,,
Cypress,2383,199,12,3,15,2,312,7,8,558,,,,,,,,,,,,,,,,,,
King's Grant,1835,157,2,1,6,3,260,2,2,433,,,,,,,,,,,,,,,,,,
Lincoln,1812,300,16,0,5,3,122,1,3,450,,,,,,,,,,,,,,,,,,
Miles/Jamison,2124,143,5,2,4,4,283,6,6,453,,,,,,,,,,,,,,,,,,
Oakbrook,2586,261,5,1,7,2,307,6,11,600,,,,,,,,,,,,,,,,,,
Patriot,1660,317,10,0,5,2,99,5,2,440,,,,,,,,,,,,,,,,,,
Sawmill Branch,1549,84,6,1,6,2,203,3,7,312,,,,,,,,,,,,,,,,,,
Coastal 2,1693,148,6,0,11,1,224,2,3,395,,,,,,,,,,,,,,,,,,
Coastal 3,776,62,1,0,3,3,89,1,5,164,,,,,,,,,,,,,,,,,,
Archdale 2,1628,153,5,1,4,0,194,0,8,365,,,,,,,,,,,,,,,,,,
Ashborough East 2,881,28,1,0,3,1,160,2,2,197,,,,,,,,,,,,,,,,,,
Ashborough West 2,1244,53,2,0,8,1,208,6,5,283,,,,,,,,,,,,,,,,,,
Beech Hill 2,1703,73,6,0,10,2,261,1,7,360,,,,,,,,,,,,,,,,,,
Brandymill 2,1422,121,4,1,8,2,190,4,9,339,,,,,,,,,,,,,,,,,,
Briarwood 2,1049,85,3,0,2,0,130,4,4,228,,,,,,,,,,,,,,,,,,
Briarwood 3,838,44,3,0,2,3,107,0,3,162,,,,,,,,,,,,,,,,,,
Central 2,1500,127,7,0,5,0,173,3,6,321,,,,,,,,,,,,,,,,,,
Clemson 2,2206,130,7,0,9,5,303,6,8,468,,,,,,,,,,,,,,,,,,
Clemson 3,1760,116,12,1,5,0,195,6,1,336,,,,,,,,,,,,,,,,,,
Coosaw 2,2299,219,9,0,12,3,261,0,7,511,,,,,,,,,,,,,,,,,,
Dorchester 2,1066,31,2,0,2,0,96,0,4,135,,,,,,,,,,,,,,,,,,
Flowertown 2,1612,148,10,1,7,1,172,5,5,349,,,,,,,,,,,,,,,,,,
Givhans 2,1018,122,3,1,3,1,154,2,1,287,,,,,,,,,,,,,,,,,,
Indian Field 2,968,166,4,1,2,0,100,1,1,275,,,,,,,,,,,,,,,,,,
Irongate 2,550,44,1,1,2,0,56,2,2,108,,,,,,,,,,,,,,,,,,
Irongate 3,690,36,2,1,2,0,94,2,2,139,,,,,,,,,,,,,,,,,,
King's Grant 2,1853,164,6,1,2,1,248,3,3,428,,,,,,,,,,,,,,,,,,
Newington 2,790,24,4,0,0,1,106,1,1,137,,,,,,,,,,,,,,,,,,
North Summerville 2,1430,225,2,1,3,1,59,6,2,299,,,,,,,,,,,,,,,,,,
Ridgeville 2,719,141,1,0,3,0,96,2,0,243,,,,,,,,,,,,,,,,,,
Tranquil 2,1376,146,9,1,10,0,149,0,13,328,,,,,,,,,,,,,,,,,,
Tupperway 2,1111,79,6,1,7,0,103,1,1,198,,,,,,,,,,,,,,,,,,
Tranquil 3,1430,162,4,1,5,5,138,3,6,324,,,,,,,,,,,,,,,,,,
Bacons Bridge 2,724,49,0,0,3,2,89,1,2,146,,,,,,,,,,,,,,,,,,
Coosaw 3,1608,111,5,0,7,2,201,0,6,332,,,,,,,,,,,,,,,,,,
Cypress 2,827,33,4,0,3,0,113,0,2,155,,,,,,,,,,,,,,,,,,
Flowertown 3,1285,102,6,0,8,1,163,1,7,288,,,,,,,,,,,,,,,,,,
Oakbrook 2,1532,119,7,0,5,2,189,3,0,325,,,,,,,,,,,,,,,,,,
Windsor 2,837,138,5,0,3,0,70,2,4,222,,,,,,,,,,,,,,,,,,
Edgefield No.1,905,95,3,0,5,0,73,2,0,178,,,,,,,,,,,,,,,,,,
Edgefield No.2,1854,251,7,2,3,1,115,5,0,384,,,,,,,,,,,,,,,,,,
Johnston No.1,1448,372,7,0,2,0,95,2,2,480,,,,,,,,,,,,,,,,,,
Johnston No.2,1323,259,6,0,5,1,98,2,1,372,,,,,,,,,,,,,,,,,,
Trenton No.1,1107,179,5,2,3,0,130,3,1,323,,,,,,,,,,,,,,,,,,
Merriweather No.1,2445,124,5,2,7,5,487,1,6,637,,,,,,,,,,,,,,,,,,
Westside,881,14,3,1,2,1,157,2,1,181,,,,,,,,,,,,,,,,,,
Harmony,786,78,1,0,2,0,89,0,2,172,,,,,,,,,,,,,,,,,,
North Side,473,94,1,0,1,0,41,0,0,137,,,,,,,,,,,,,,,,,,
Brunson,568,136,1,1,1,1,34,0,0,174,,,,,,,,,,,,,,,,,,
Merriweather No.2,3096,153,7,2,19,3,596,5,6,791,,,,,,,,,,,,,,,,,,
Trenton No.2,1936,328,8,1,4,1,158,2,3,505,,,,,,,,,,,,,,,,,,
BLACKSTOCK,63,22,0,0,0,0,4,0,0,26,,,,,,,,,,,,,,,,,,
BLAIRS,440,194,1,0,0,0,12,1,0,208,,,,,,,,,,,,,,,,,,
CENTERVILLE,292,36,0,0,0,0,63,0,0,99,,,,,,,,,,,,,,,,,,
FEASTERVILLE,309,80,0,0,0,0,12,1,0,93,,,,,,,,,,,,,,,,,,
GREENBRIER,1894,369,8,2,7,2,80,3,0,471,,,,,,,,,,,,,,,,,,
GLADDE3N GROVE,69,8,0,0,0,1,8,0,0,17,,,,,,,,,,,,,,,,,,
JENKINSVILLE,578,229,1,0,2,0,22,1,1,256,,,,,,,,,,,,,,,,,,
