,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Edgewood Station B,2034,104,1,0,6,1,335,2,2,451,,,,,,,,,,,,,,,,,,
Cox's Creek,1198,34,2,0,2,1,136,1,2,178,,,,,,,,,,,,,,,,,,
Mt. Airy,2266,92,4,0,7,1,566,2,1,673,,,,,,,,,,,,,,,,,,
Belton Annex,1802,133,7,3,7,3,329,3,2,487,,,,,,,,,,,,,,,,,,
Powdersville,2845,186,6,1,4,8,609,5,6,825,,,,,,,,,,,,,,,,,,
Glenview,1886,142,7,0,10,5,256,4,2,426,,,,,,,,,,,,,,,,,,
Hammond Annex,1892,65,6,0,4,3,223,2,1,304,,,,,,,,,,,,,,,,,,
Center Rock,2284,134,9,0,10,0,437,5,1,596,,,,,,,,,,,,,,,,,,
Hunt Meadows,3852,162,7,0,7,4,954,5,3,1142,,,,,,,,,,,,,,,,,,
COLSTON,191,21,1,1,0,0,29,0,0,52,,,,,,,,,,,,,,,,,,
EDISTO,315,39,1,0,0,1,75,1,0,117,,,,,,,,,,,,,,,,,,
EHRHARDT,757,133,2,0,3,0,102,3,1,244,,,,,,,,,,,,,,,,,,
EAST DENMARK,2261,592,4,0,3,2,65,2,0,668,,,,,,,,,,,,,,,,,,
GOVAN,174,50,0,0,0,0,13,1,0,64,,,,,,,,,,,,,,,,,,
HIGHTOWERS MILL,93,28,0,0,0,0,5,0,0,33,,,,,,,,,,,,,,,,,,
HUNTER'S CHAPEL,204,49,1,0,0,0,43,0,0,93,,,,,,,,,,,,,,,,,,
KEARSE,110,2,1,0,0,0,35,0,0,38,,,,,,,,,,,,,,,,,,
LITTLE SWAMP,132,6,0,0,0,0,33,0,0,39,,,,,,,,,,,,,,,,,,
OLAR,342,70,3,0,1,0,55,0,0,129,,,,,,,,,,,,,,,,,,
SOUTH BAMBERG,2406,573,12,2,3,3,110,3,1,707,,,,,,,,,,,,,,,,,,
WEST DENMARK,1278,483,2,0,3,1,39,2,0,530,,,,,,,,,,,,,,,,,,
NORTH BAMBERG,1935,287,1,1,4,1,162,4,1,461,,,,,,,,,,,,,,,,,,
BARNWELL 1,703,113,6,0,2,0,64,2,1,188,,,,,,,,,,,,,,,,,,
BARNWELL 2,1485,178,4,1,6,3,195,3,0,390,,,,,,,,,,,,,,,,,,
BARNWELL 3,1653,210,4,1,6,4,184,5,3,417,,,,,,,,,,,,,,,,,,
BARNWELL 4,1408,260,4,1,2,1,87,2,1,358,,,,,,,,,,,,,,,,,,
BLACKVILLE 1,980,272,4,0,2,2,65,2,1,348,,,,,,,,,,,,,,,,,,
BLACKVILLE 2,593,166,3,1,3,0,40,1,0,214,,,,,,,,,,,,,,,,,,
ELKO,566,107,3,1,0,1,90,1,0,203,,,,,,,,,,,,,,,,,,
FRIENDSHIP,590,14,0,0,5,0,169,2,0,190,,,,,,,,,,,,,,,,,,
KLINE,586,82,1,0,2,1,78,0,0,164,,,,,,,,,,,,,,,,,,
HEALING SPRINGS,866,290,2,2,2,0,47,1,0,344,,,,,,,,,,,,,,,,,,
HILDA,827,32,2,0,5,2,220,0,0,261,,,,,,,,,,,,,,,,,,
SNELLING,1247,205,5,0,0,1,155,1,2,369,,,,,,,,,,,,,,,,,,
WILLISTON 1,1420,356,2,0,1,1,119,2,1,482,,,,,,,,,,,,,,,,,,
WILLISTON 2,605,70,1,1,3,0,103,1,0,179,,,,,,,,,,,,,,,,,,
WILLISTON 3,843,122,3,1,2,1,151,4,1,285,,,,,,,,,,,,,,,,,,
BEAUFORT 1,1222,129,4,1,5,0,58,3,5,205,,,,,,,,,,,,,,,,,,
BEAUFORT 2,1235,58,5,0,7,0,92,0,2,164,,,,,,,,,,,,,,,,,,
BEAUFORT 3,1520,51,5,0,8,0,125,2,1,192,,,,,,,,,,,,,,,,,,
BURTON 1A,1990,123,9,0,4,3,217,3,2,361,,,,,,,,,,,,,,,,,,
BURTON 1B,1385,233,5,2,3,1,49,2,1,296,,,,,,,,,,,,,,,,,,
BURTON 1C,1847,164,8,0,6,0,142,3,1,324,,,,,,,,,,,,,,,,,,
BURTON 2A,1682,99,7,1,9,1,199,3,3,322,,,,,,,,,,,,,,,,,,
BURTON 2B,1939,186,11,0,8,2,220,6,6,439,,,,,,,,,,,,,,,,,,
BURTON 2C,1902,99,6,1,6,2,266,3,4,387,,,,,,,,,,,,,,,,,,
BURTON 3,799,86,3,0,3,4,50,3,0,149,,,,,,,,,,,,,,,,,,
